ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,TotalVisiting
0,34.0,Self Enquiry,1,2.3978952727983707,Small Business,4.0,Standard,5.0,Unmarried,3.0,0,2,0,Senior Manager,10.189831229736429,2.0
0,36.0,Company Invited,3,2.833213344056216,Large Business,3.0,Standard,3.0,Divorced,1.0,0,5,0,Senior Manager,10.116095801934955,3.0
0,36.0,Self Enquiry,1,2.1972245773362196,Salaried,3.0,Basic,3.0,Married,6.0,0,2,1,Executive,9.788918097792992,2.0
0,43.0,Company Invited,3,3.4657359027997265,Salaried,3.0,Super Deluxe,3.0,Divorced,2.0,1,2,0,AVP,10.372209110279307,3.0
0,30.0,Company Invited,1,3.367295829986474,Salaried,5.0,Basic,3.0,Married,2.0,0,3,1,Executive,9.776392544732296,5.0
0,33.0,Company Invited,3,3.332204510175204,Small Business,3.0,Deluxe,4.0,Divorced,1.0,0,2,0,Manager,9.959206041292472,4.0
1,56.0,Self Enquiry,1,2.995732273553991,Salaried,4.0,Basic,4.0,Divorced,1.0,1,5,1,Executive,9.901635839172654,4.0
0,51.0,Self Enquiry,1,2.4849066497880004,Salaried,3.0,King,3.0,Unmarried,1.0,0,5,1,VP,10.399231263877141,2.0
1,31.0,Self Enquiry,3,2.4849066497880004,Salaried,5.0,Deluxe,3.0,Divorced,5.0,1,3,1,Manager,9.960434832977878,4.0
0,26.0,Self Enquiry,1,2.4849066497880004,Salaried,4.0,Basic,4.0,Divorced,2.0,0,3,1,Executive,9.762384711558127,2.0
1,58.0,Self Enquiry,1,3.367295829986474,Small Business,3.0,Standard,3.0,Divorced,2.0,0,3,1,Senior Manager,10.139033870567381,3.0
1,19.0,Self Enquiry,3,3.332204510175204,Small Business,3.0,Basic,3.0,Unmarried,2.0,1,2,0,Executive,9.721665870783825,3.0
0,22.0,Self Enquiry,1,2.0794415416798357,Large Business,3.0,Basic,3.0,Divorced,1.0,0,5,1,Executive,9.771269582708419,5.0
0,49.0,Self Enquiry,1,3.258096538021482,Small Business,3.0,Deluxe,5.0,Divorced,2.0,0,2,1,Manager,9.978919647651981,5.0
0,43.0,Company Invited,1,2.5649493574615367,Small Business,2.0,Basic,3.0,Unmarried,5.0,0,3,0,Executive,9.890351653142988,5.0
0,50.0,Company Invited,3,2.8903717578961645,Small Business,3.0,Standard,3.0,Unmarried,5.0,0,5,0,Senior Manager,10.094438436028137,3.0
1,31.0,Self Enquiry,3,2.5649493574615367,Salaried,5.0,Deluxe,3.0,Divorced,4.0,1,3,1,Manager,9.881190817537517,3.0
0,41.0,Self Enquiry,3,2.70805020110221,Salaried,3.0,Standard,3.0,Married,4.0,1,2,0,Senior Manager,10.051433307284436,4.0
0,26.0,Self Enquiry,2,3.4339872044851463,Salaried,3.0,Basic,3.0,Divorced,2.0,0,4,1,Executive,9.794899612119229,3.0
0,36.0,Self Enquiry,1,2.4849066497880004,Small Business,4.0,Deluxe,4.0,Married,7.0,0,4,1,Manager,9.900533192709691,3.0
1,51.0,Company Invited,1,2.6390573296152584,Salaried,5.0,Standard,3.0,Unmarried,3.0,0,2,0,Senior Manager,10.152298850598916,3.0
0,39.0,Self Enquiry,3,2.302585092994046,Salaried,4.0,Deluxe,3.0,Divorced,5.0,0,5,1,Manager,9.947600127154448,2.0
0,25.0,Self Enquiry,3,3.5263605246161616,Salaried,4.0,Deluxe,3.0,Divorced,3.0,0,4,0,Manager,10.070653169440881,2.0
0,30.0,Self Enquiry,2,2.70805020110221,Salaried,3.0,Deluxe,3.0,Divorced,1.0,1,3,1,Manager,9.9686664935611,3.0
1,36.0,Self Enquiry,1,2.70805020110221,Small Business,3.0,Basic,5.0,Unmarried,1.0,0,4,1,Executive,10.014447362844386,3.0
0,36.0,Self Enquiry,1,3.5263605246161616,Small Business,3.0,Basic,3.0,Unmarried,6.0,0,2,1,Executive,9.822928044677711,2.0
0,38.0,Self Enquiry,1,2.1972245773362196,Large Business,3.0,Deluxe,3.0,Unmarried,4.0,1,5,0,Manager,9.478485969210178,2.0
0,30.0,Self Enquiry,1,3.1780538303479458,Salaried,3.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,9.777470711952642,3.0
0,32.0,Company Invited,3,2.5649493574615367,Small Business,5.0,Deluxe,3.0,Married,1.0,0,2,0,Manager,9.88674822853183,3.0
0,30.0,Self Enquiry,1,2.3978952727983707,Large Business,3.0,Basic,5.0,Married,6.0,0,5,1,Executive,9.809396629136533,3.0
0,30.0,Self Enquiry,1,2.0794415416798357,Small Business,4.0,Basic,3.0,Unmarried,1.0,0,4,0,Executive,9.782449224159071,2.0
0,41.0,Company Invited,1,2.772588722239781,Salaried,4.0,Super Deluxe,5.0,Married,5.0,0,2,1,AVP,10.37913149526554,3.0
0,41.0,Self Enquiry,1,2.70805020110221,Salaried,3.0,Basic,5.0,Divorced,3.0,0,2,0,Executive,9.754871528207344,5.0
0,19.0,Self Enquiry,1,2.1972245773362196,Small Business,3.0,Basic,4.0,Unmarried,2.0,0,3,1,Executive,9.710084825731355,5.0
0,40.0,Company Invited,1,3.4657359027997265,Small Business,3.0,Deluxe,4.0,Married,2.0,0,2,1,Manager,9.933289043772918,2.0
0,35.0,Self Enquiry,3,1.791759469228055,Small Business,3.0,Standard,4.0,Divorced,2.0,0,4,1,Senior Manager,10.012117717061576,5.0
0,53.0,Self Enquiry,3,2.4849066497880004,Small Business,3.0,Deluxe,3.0,Divorced,3.0,1,5,0,Manager,9.758808541166685,2.0
0,45.0,Self Enquiry,1,2.70805020110221,Salaried,3.0,Deluxe,4.0,Married,1.0,0,4,1,Manager,9.761232504955258,2.0
0,32.0,Company Invited,3,2.6390573296152584,Small Business,3.0,Standard,3.0,Unmarried,2.0,0,4,1,Senior Manager,10.085725772524334,3.0
0,29.0,Company Invited,1,2.5649493574615367,Large Business,3.0,Deluxe,3.0,Divorced,2.0,0,3,0,Manager,10.014447362844386,3.0
0,51.0,Self Enquiry,1,2.5649493574615367,Small Business,4.0,Deluxe,3.0,Divorced,3.0,0,3,1,Manager,9.958543758284206,3.0
0,58.0,Self Enquiry,1,2.70805020110221,Small Business,4.0,Basic,4.0,Divorced,5.0,1,2,1,Executive,9.8171668460696,3.0
0,40.0,Self Enquiry,3,2.302585092994046,Small Business,4.0,Standard,3.0,Divorced,1.0,0,2,1,Senior Manager,10.160259284830321,3.0
0,34.0,Company Invited,3,2.0794415416798357,Small Business,3.0,Basic,3.0,Divorced,7.0,0,5,1,Executive,9.7544653661431,5.0
0,22.0,Self Enquiry,1,3.2188758248682006,Small Business,3.0,Basic,3.0,Divorced,2.0,0,2,0,Executive,9.759790377278941,4.0
0,27.0,Company Invited,1,2.70805020110221,Small Business,3.0,Basic,4.0,Married,7.0,0,3,0,Executive,9.742379392141371,2.0
0,28.0,Self Enquiry,1,3.295836866004329,Small Business,3.0,Basic,3.0,Divorced,2.0,0,2,0,Executive,9.782054112252597,2.0
0,57.0,Self Enquiry,1,3.4011973816621555,Salaried,2.0,Standard,3.0,Married,4.0,1,4,1,Senior Manager,10.103935495918149,3.0
0,27.0,Company Invited,1,2.1972245773362196,Small Business,4.0,Basic,3.0,Married,2.0,1,2,0,Executive,9.773720494477063,5.0
0,50.0,Self Enquiry,1,2.833213344056216,Salaried,3.0,King,4.0,Unmarried,4.0,0,5,1,VP,10.399231263877141,3.0
0,41.0,Self Enquiry,1,2.995732273553991,Salaried,3.0,Basic,3.0,Married,5.0,0,4,1,Executive,9.767152232578871,3.0
0,30.0,Self Enquiry,3,2.3978952727983707,Salaried,3.0,Standard,3.0,Divorced,3.0,0,4,1,Senior Manager,10.10311679678527,3.0
0,38.0,Self Enquiry,3,1.791759469228055,Salaried,4.0,Deluxe,3.0,Unmarried,5.0,0,2,1,Manager,10.07263943528144,3.0
0,32.0,Self Enquiry,1,2.4849066497880004,Salaried,3.0,Basic,3.0,Unmarried,4.0,0,2,0,Executive,9.800235922725653,3.0
0,27.0,Self Enquiry,1,3.1354942159291497,Large Business,3.0,Basic,4.0,Divorced,1.0,1,4,1,Executive,9.801344078867425,2.0
1,19.0,Company Invited,3,1.791759469228055,Large Business,5.0,Basic,5.0,Unmarried,1.0,0,3,1,Executive,9.759905824058103,4.0
0,36.0,Company Invited,1,2.1972245773362196,Small Business,3.0,Basic,4.0,Unmarried,5.0,0,4,1,Executive,9.746131741759921,1.0
0,30.0,Company Invited,1,2.70805020110221,Small Business,3.0,Deluxe,5.0,Married,2.0,0,2,0,Manager,9.80211905814784,4.0
0,45.0,Self Enquiry,3,2.302585092994046,Salaried,4.0,Deluxe,5.0,Married,5.0,1,4,0,Manager,9.903787507545125,1.0
0,56.0,Self Enquiry,1,2.5649493574615367,Salaried,3.0,Basic,5.0,Married,5.0,1,4,1,Executive,10.014447362844386,4.0
0,33.0,Self Enquiry,1,2.0794415416798357,Salaried,3.0,Basic,3.0,Unmarried,1.0,0,3,0,Executive,9.769956159911606,3.0
1,19.0,Self Enquiry,1,2.0794415416798357,Salaried,4.0,Basic,3.0,Unmarried,2.0,0,5,0,Executive,9.686698766859926,2.0
0,46.0,Self Enquiry,3,1.791759469228055,Small Business,3.0,Standard,5.0,Married,2.0,0,2,1,Senior Manager,10.144588893224116,4.0
0,38.0,Self Enquiry,1,2.70805020110221,Salaried,3.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,9.757767898186723,4.0
0,36.0,Self Enquiry,1,2.8903717578961645,Small Business,3.0,Basic,3.0,Divorced,1.0,1,4,1,Executive,10.014447362844386,5.0
0,34.0,Self Enquiry,1,3.4965075614664802,Small Business,3.0,Basic,4.0,Unmarried,3.0,0,3,1,Executive,9.75909741657673,3.0
1,41.0,Self Enquiry,3,3.258096538021482,Small Business,3.0,Basic,4.0,Unmarried,2.0,1,4,0,Executive,9.805874723669127,5.0
0,36.0,Self Enquiry,1,1.791759469228055,Small Business,4.0,Basic,3.0,Divorced,3.0,0,3,0,Executive,9.835743900449609,2.0
0,53.0,Self Enquiry,1,2.5649493574615367,Small Business,2.0,Deluxe,5.0,Married,2.0,0,2,1,Manager,10.014447362844386,3.0
0,33.0,Self Enquiry,1,2.995732273553991,Small Business,3.0,Basic,4.0,Divorced,2.0,0,5,0,Executive,9.784478765953926,3.0
0,40.0,Self Enquiry,1,2.302585092994046,Small Business,3.0,King,3.0,Divorced,2.0,0,5,0,VP,10.399231263877141,3.0
0,55.0,Self Enquiry,1,2.995732273553991,Small Business,2.0,King,4.0,Unmarried,1.0,0,2,0,VP,10.399231263877141,5.0
